,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
16,W,W,W,W,L,W,W,W,W,W,W,W,W,W,W,W,W
15,W,W,L,W,W,W,W,L,W,W,W,L,W,W,W,L,W
14,W,L,W,W,W,L,W,W,W,W,L,W,W,W,L,W,W
13,W,W,W,L,W,W,W,W,W,W,W,W,L,W,W,W,L
12,L,W,W,W,W,W,W,W,L,W,W,W,W,W,W,W,W
11,W,W,L,W,W,W,L,W,W,W,W,L,W,W,W,L,W
10,W,W,W,W,W,L,W,W,W,L,W,W,W,W,L,W,W
9,W,L,W,W,W,W,W,L,W,W,W,W,W,W,W,W,L
8,L,W,W,W,L,W,W,W,W,W,W,W,L,W,W,W,W
7,W,W,W,W,W,W,L,W,W,W,L,W,W,W,W,L,W
6,W,W,L,W,W,W,W,W,W,L,W,W,W,L,W,W,W
5,W,L,W,W,W,L,W,W,W,W,W,L,W,W,W,W,L
4,W,W,W,L,W,W,W,W,L,W,W,W,W,W,L,W,W
3,W,W,W,W,W,W,W,W,W,W,L,W,W,W,W,W,W
2,W,W,L,W,W,W,L,W,W,W,W,W,L,W,W,W,W
1,W,L,W,W,W,L,W,W,W,L,W,W,W,W,W,L,L
0,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
